PO_ID,Product_ID,Supplier_ID,Warehouse_ID,Order_Date,Expected_Delivery,Actual_Delivery,Quantity_Ordered,Quantity_Received,Unit_Cost,Total_Cost,Status,On_Time
PO00470,PRD0064,SUP009,WH003,2025-07-11,2025-07-21,2025-07-27,135,135,1504.29,203079.15,Delivered,No
PO00471,PRD0087,SUP013,WH004,2025-12-31,2026-01-21,,115,0,513.11,59007.65,In Transit,No
PO00472,PRD0093,SUP030,WH002,2025-06-08,2025-06-12,,68,0,1516.4,103115.2,Cancelled,No
PO00473,PRD0025,SUP028,WH006,2025-11-03,2025-11-05,2025-11-06,360,360,996.98,358912.8,Delivered,No
PO00474,PRD0031,SUP014,WH008,2025-05-22,2025-06-02,2025-06-02,259,259,1424.24,368878.16,Delivered,Yes
PO00475,PRD0074,SUP010,WH002,2025-03-24,2025-04-10,,328,0,2168.22,711176.16,In Transit,No
PO00476,PRD0056,SUP022,WH004,2025-04-07,2025-05-03,2025-05-07,14,14,1257.83,17609.62,Delivered,No
PO00477,PRD0052,SUP004,WH008,2025-05-04,2025-05-27,2025-05-31,302,302,1853.67,559808.34,Delivered,No
PO00478,PRD0084,SUP015,WH001,2025-07-12,2025-07-14,,343,0,2807.14,962849.02,Cancelled,No
PO00479,PRD0030,SUP024,WH002,2025-08-28,2025-09-09,2025-09-06,222,222,2713.26,602343.72,Delivered,Yes
PO00480,PRD0007,SUP025,WH008,2025-09-27,2025-10-15,2025-10-24,285,285,52.12,14854.2,Delivered,No
PO00481,PRD0018,SUP009,WH005,2025-07-12,2025-07-24,,80,0,1556.92,124553.6,Pending,No
PO00482,PRD0061,SUP030,WH002,2025-10-28,2025-11-04,2025-11-01,156,156,1126.5,175734.0,Delivered,Yes
PO00483,PRD0032,SUP025,WH004,2026-02-12,2026-03-06,2026-03-11,76,76,936.72,71190.72,Delivered,No
PO00484,PRD0060,SUP010,WH008,2025-08-31,2025-09-30,2025-10-04,83,83,1205.03,100017.49,Delivered,No
PO00485,PRD0035,SUP018,WH004,2025-06-05,2025-06-23,2025-06-26,103,103,127.11,13092.33,Delivered,No
PO00486,PRD0031,SUP017,WH005,2025-07-15,2025-07-26,2025-07-30,364,364,1424.24,518423.36,Delivered,No
PO00487,PRD0019,SUP023,WH002,2025-10-01,2025-10-06,2025-10-05,162,162,2174.08,352200.96,Delivered,Yes
PO00488,PRD0077,SUP029,WH003,2025-10-13,2025-10-21,,296,0,116.88,34596.48,In Transit,No
PO00489,PRD0086,SUP010,WH008,2026-02-20,2026-03-04,2026-03-08,134,134,572.8,76755.2,Delivered,No
PO00490,PRD0095,SUP017,WH008,2025-12-19,2025-12-28,2025-12-30,460,460,16.55,7613.0,Delivered,No
PO00491,PRD0083,SUP001,WH005,2025-04-15,2025-04-26,2025-04-23,403,403,846.03,340950.09,Delivered,Yes
PO00492,PRD0070,SUP024,WH006,2026-01-14,2026-02-02,,493,0,2070.78,1020894.54,In Transit,No
PO00493,PRD0017,SUP007,WH002,2025-12-21,2026-01-05,2026-01-15,78,78,1123.59,87640.02,Delivered,No
PO00494,PRD0024,SUP001,WH007,2025-05-14,2025-06-01,,348,0,1188.96,413758.08,Pending,No
PO00495,PRD0032,SUP019,WH003,2025-08-12,2025-09-03,,22,0,936.72,20607.84,Pending,No
PO00496,PRD0074,SUP018,WH002,2025-06-20,2025-07-07,2025-07-15,466,466,2168.22,1010390.52,Delivered,No
PO00497,PRD0049,SUP018,WH006,2025-06-05,2025-06-14,2025-06-17,423,423,1141.55,482875.65,Delivered,No
PO00498,PRD0045,SUP016,WH001,2025-10-27,2025-11-20,,329,0,1391.77,457892.33,In Transit,No
PO00499,PRD0032,SUP004,WH004,2025-09-28,2025-10-20,,71,0,936.72,66507.12,Cancelled,No
PO00500,PRD0099,SUP018,WH003,2026-01-18,2026-02-15,2026-02-12,426,426,381.78,162638.28,Delivered,Yes
